Name,Address,Latitude,Longitude
Boscobel House and Gardens,"1601 Rte 9D, Garrison, NY, 10524",41.41305538030336,-73.9393555168823
Caramoor Center for Music and the Arts,"149 Girdle Ridge Rd, Katonah, NY, 10536",41.23824479557755,-73.6455245168914
Carolee Schneemann Foundation,"668 Rte 213, Rosendale, NY, 12472",41.84155730810984,-74.09792134305778
Carrie Haddad Gallery,"622 Warren St, Hudson, NY, 12534",42.247786794388794,-73.78358394567468
Catskill Art Space,"48 Main St, Livingston Manor, NY, 12758",41.90109053696396,-74.82813843220066
Catskill Octagon House,"21 Walnut St, Catskill, NY, 12414",42.21841512139769,-73.87319611684022
ChaNorth (Chashama North),"2600 Rte 199, Pine Plains, NY, 12567",41.98828048768514,-73.68154167637583
Chapel of Sacred Mirrors,"65 Deer Hill Rd, Wappingers Falls, NY, 12590",41.58097390566512,-73.93536016105334
Charlotte Woolf at Foxtrot Farm & Flowers,"6854 NY-82, Stanfordville, NY, 12581",41.91521651033737,-73.66735563405155
Cold Spring Ceramics,"165 Main St, Cold Spring, NY, 10516",41.419387579840226,-73.95580910331694
Color Wheels,"2037 Lucas Turnpike, High Falls, NY, 12440",41.84043431838971,-74.12089545911435
Community Hinterland,"3107 State Rte 28, Shokan, NY, 12481",42.083160958984216,-74.3145905225935
CPW,"25 Dederick St, Kingston, NY, 12401",41.92912825474141,-74.00034955910974
Cronin Gallery + Trimper Gallery,"10 Main St, New Paltz, NY 12561",41.72299012527435,-74.13572135907968
DARNStudios at (Creative Legion),"7 Fairview Ave, Hudson NY 12534",42.24745089543928,-73.77411631685536
Deborah Masters Studio,"253 Slate Hill Rd, Chatham, NY, 12037",42.33650461016818,-73.5895096149078
Delaware Valley Arts Alliance,"37 Main St, Narrowsburg, NY, 12764",41.608646807600536,-75.06110754563491
Dia Art Foundation,"3 Beekman St, Beacon, NY, 12508",41.50024254393065,-73.98256748796815
Distortion Society,"155 Main St, Beacon, NY, 12508",41.50838206235457,-73.97610627632928
East Branch Nature Preserve - Outdoor Sculpture Series,"669 Highway 38, Arkville, NY, 12406",42.15857486927239,-74.62030945359895
Edward Hopper House Museum & Study Center,"82 N. Broadway, Nyack, NY, 10960",41.09359836934445,-73.91795798798901
FABHAUS,"26 Liberty St, Newburgh, NY, 12550",41.49579893423493,-74.0108895591322
Farm & Field,"338 Punsit Rd, Chatham, NY, 12037",42.301242140636184,-73.53477390141806
Forged Hands,"24 Old Kaaterskill Ave, Palenville, NY, 12463",42.16650046727903,-74.0098217609504
Foreland,"111 Water St, Catskill, NY, 12414",42.21816575660268,-73.8663299302585
"Frances Lehman Loeb Art Center, Vassar College","124 Raymond Ave, FLLAC, Box 703, Poughkeepsie, NY, 12604",41.68672690414232,-73.89732127512099
Freewheelin’,"2407 State Rte 66, Ghent, NY, 12037",42.334522023015595,-73.60968290512247
Friday Arts,"57 Sheffield Rd, Amenia, NY, 12501",41.85196268730318,-73.54327614747531
Friends of River Hook,"611 N. Midland Ave, Upper Nyack, NY, 10960",41.114409998074485,-73.91929646100492
Front Room Gallery - Expanded Field,"446 Delaware Ave, Kingston, NY, 12401",41.92710498665909,-73.97982170329058
Frost Valley YMCA,"2000 Frost Valley Rd, Claryville, NY, 12725",41.98923728112938,-74.50156227445127
Gaa,"107 Water Street Catskill, NY, 12414",42.21807400248845,-73.86637567637996
GARNER Arts Center,"Building 18, Studio 5 55 West Railroad Avenue, Garnerville, NY, 10923",41.20964576925491,-73.98977286891514
Garrison Art Center,"23 Garrison's Landing, Garrison, NY, 10524",41.38275107100404,-73.94725604961268
Gatherwild Ranch,"331 Round Top Rd, Germantown, NY, 12526-5826",42.11931651738632,-73.87289458978907
Glasshouse Project Inc.,"251 Springtown Rd, New Paltz, NY, 12561",41.78070888038741,-74.08868011573078
Glögg Glögg,"591 Zena Rd, Woodstock, NY, 12498",42.02112356289424,-74.08132416414692
Good Naked Gallery,"308 Cragsmoor Rd, Pine Bush, NY, 12566",41.66734712730689,-74.38606455987025
Goshen Green Farm,"3301-3317 Rte 207, Goshen, NY, 10924",41.42419191277833,-74.30291100331671
Hammond Museum,"28 Deveau Rd, North Salem, NY, 10560",41.332055177285376,-73.58171070332133
Headstone Gallery,"28 Hurley Ave, Kingston, NY, 12401",41.9361085497278,-74.0264666609625
"Hessel Museum of Art, Bard College","33 Garden Rd, Annandale-on-Hudson, NY, 12504",42.020471093298276,-73.91415417444964
Howland Cultural Center,"477 Main St, Beacon, NY, 12508",41.50195581587216,-73.96487694706674
Hudson Hall,"327 Warren St, Hudson, NY, 12534",42.252233357943076,-73.7903847593626
Hudson Valley MOCA,"1701 Main St, Peekskill, NY, 10566",41.293566940288734,-73.90685326125899
Hudson Valley Seed Company,"11 Airport Rd, Accord, NY, 12404",41.80148212954812,-74.21329684589166
Interlude Artist Residency,"171 Old Rte 82, Hudson, NY, 12534",42.14918077614474,-73.7396760747104
International Museum of Dinnerware Design,"524 Broadway, Kingston, NY, 12401",41.928454155758764,-74.00082011704977
Jack Shainman Gallery / The School,"25 Broad St, Kinderhook, NY, 12106",42.39308887319783,-73.70123558819131
Jacob Burns Film Center,"364 Manville Rd, Pleasantville, NY, 10570",41.135193804206004,-73.7915993324309
Jane St. Art,"11 Jane St, Suite A, Saugerties, NY, 12477",42.07730026596194,-73.95294741889235
John Cage Trust / Bard Library,"1 Library Rd, Annandale-on-Hudson, NY, 12504",42.0227882568693,-73.90650134588086
JW1301 & 1301 Guest House,"1301 County Rte 7, Ancram, NY, 12502",42.04410668729213,-73.64520878820841
Kaatsbaan Cultural Park,"120 Broadway, Tivoli, NY, 12583",42.056166797449876,-73.9161380895139
Katonah Museum of Art,"134 Jay St, Katonah, NY, 10536",41.26293776125613,-73.67328239009618
Kayrock Editions,"87 N Chestnut St #106, New Paltz, NY, 12561",41.75462498044236,-74.08442577472955
KENT FINE ART LLC,"2854 Church St, Pine Plains, NY, 12567",41.980478506379306,-73.66075981704726
The Kinderhook Knitting Mill,"8 Hudson St, Kinderhook, NY, 12106",42.39468311052064,-73.69849677469828
Kingsland Editions,"152 West Bridge St, Saugerties, NY, 12477",42.072422287372135,-73.95222034587839
KinoSaito Art Center,"115 7th St, Verplanck, NY, 10596",41.25257905853884,-73.95693817457754
Ligenza Moore Gallery,"78 Trout Brook Rd, Cold Spring, NY, 10516",41.4792408174075,-73.85921443223941
lite brite neon studio x queer|art,"26 Downs St, Kingston, NY, 12401",41.93129705996913,-74.00601278989033
Loading... Invitational,"60 South Front St, Hudson, NY, 12534",42.254213717882344,-73.79718361685596
Lyndhurst Mansion & Gardens,"635 S Broadway Tarrytown, NY, 10591",41.05380146351254,-73.86111684575349
Lynn & Lorraine with Tulsa Artist Fellowship,"5 Stony Kill Rd, Accord, NY, 12404",41.78280327772073,-74.22591573036972
Magazzino Italian Art,"2700 Rte 9, Cold Spring, NY, 10516",41.42927902062312,-73.91433274758754
Manitoga / The Russel Wright Design Center,"584 NY-9D, Garrison, NY, 10524",41.349134870336606,-73.95342404573643
Maria Vera Skin Care,"36 John St, Kingston, NY, 12401",41.933936512223504,-74.0190628745445
Marly Hammer + Jasper Richmus: The Mall,"1300 Ulster Ave, Kingston, NY, 12401",41.96636178936413,-73.98450713803363
Material Projects Space,"6 Market St, Ellenville, NY, 12428",41.7166760410825,-74.39329397455504
Mendes Wood DM,"10 Church Ave Germantwon, NY, 12526",42.13201908442976,-73.88061928802557
Millbrook Arts Group,"3 Friendly Ln, Millbrook, NY, 12545",41.78576886842977,-73.69225004571524
Mother-in-Law's,"140 Church Ave, Germantown, NY, 12526",42.12431968114253,-73.88146344569873
N/A Project Space,"137 Martin Sweedish Rd, New Paltz, NY, 12561",41.80772861954581,-74.02790940360353
Nervous System,"3292 Rte 23a Rear, Palenville, NY, 12463",42.175744038600016,-74.0204104765992
Olana State Historic Site,"5720 State Rte 9G, Hudson, NY, 12534",42.21737220766298,-73.82929704591226
Open Space,"2410 Hurley Mountain Rd, Kingston, NY, 12401",41.88602933082831,-74.12686026127099
Ornamentum,"506 Warren St, Hudson, NY, 12534",42.24975515587633,-73.78634467659556
Peep Space,"92 Central Ave, Ground Floor, Tarrytown, NY, 10591",41.07858059633588,-73.86163021898149
Pictorial Foundation,"105 Ann St, Unit 1, Newburgh, NY, 12550",41.499158575281264,-74.01178540361863
PS21 : Center for Contemporary Performance,"2980 State Rte 66, Chatham, NY, 12037",42.375163341149445,-73.60631421891811
PUF Studios Community Printmaking Studio at the Poughkeepsie Underwear Factory,"8 North Cherry St, Poughkeepsie, NY, 12601",41.701665178368174,-73.91802237662243
Raphael Moser Gallery,"75 Bridge St, Catskill, NY, 12414",42.21787871129347,-73.86445090173413
RAVENWOOD,"579 Samsonville Rd, Kerhonkson, NY, 12446",41.830615962391256,-74.30385741709568
River Valley Arts Collective,"26 Beechford Dr, Boiceville, NY 12412",42.01753210254744,-74.2662411933783
Rohmer Gallery,"84 Partition St, Saugerties, NY, 12477",42.07746131185363,-73.95242486126158
Roost Arts Hudson Valley,"122 Main St, New Paltz, NY, 12561",41.74797779975217,-74.08366719011332
Rural Projects,"650 County Rte 11, Gallatin, NY, 12502",42.07281504219529,-73.68420670359063
RUTHANN,"453 Main St, Catskill, NY, 12414",42.22168826666491,-73.86660746125445
Savage Wonderground,"139 Main St, Beacon, NY, 12508",41.508255662600966,-73.97662081711138
SEPTEMBER,"4 Hudson St 3rd Fl, Kinderhook, NY, 12106",42.39501461577136,-73.69824227473906
Shadow Walls,"413 Silver Spur Rd, West Purling, NY, 12470",42.28362910776777,-74.00044480173085
Shaker Museum,"4 Depot Square, Chatham, NY, 12037",42.362438011321174,-73.59732653241184
Shigeko Kubota Video Art Foundation,"20 West Main St, Beacon, NY, 12508",41.50852539939112,-73.98061847478257
Show: Room,"549 Washington Street, Floor 3, Hudson, New York, 12534",42.250903510641386,-73.78164104754237
Sky High Farm,"675 Hall Hill Rd, Pine Plains, NY, 12567",42.00212590907007,-73.6411172170872
SoMad x Upstate Films,"Kestrel Tavern, 21 Oneil St, Kingston, NY, 12401",41.93120372886269,-74.00518164491665
Sometimes Gallery,"314 Old Rte 22, Wassaic, NY, 12592",41.81028229794054,-73.55749248826095
Soon is Now,"8 Long Dock Rd, Beacon, NY, 12508",41.50610027821481,-73.98512100278069
Space Clover Arts,"1642 Rt 9J, Stuyvesant, NY, 12173",42.427485995797156,-73.77017710542228
Sqrypt Atelier: Inn Way Art Co-op,"7 Liberty Square, Ellenville, NY, 12428",41.717227422726026,-74.39282214593683
Station,"394 Hasbrouck Ave, Kingston, NY, 12401",41.92792564914174,-73.99451963058402
Stony Kill Studios,"681 Granite Rd, Kerhonkson, NY, 12446",41.75351993738488,-74.2743473747706
Storm King Art Center,"20 Old Pleasant Hill Rd, New Windsor, NY, 12553",41.429127076756885,-74.06476154595084
STRONGROOM: Soto,"Renwick & Liberty Streets, South/East corner Newburgh, NY, 12550-5784",41.49460669321447,-74.01125335944083
STRONGROOM: Young,"S100 Ann St, Newburgh, NY, 12550",41.49906279095197,-74.01159952848161
Studio Tashtego,"158 Main St, Cold Spring, NY, 10516",41.41943558874662,-73.95638367478689
Sunfair,"210 Cold Spring Rd, Hudson, NY, 12534",42.16173027975599,-73.8038963324219
'T' Space | Steven Myron Holl Foundation,"60 Round Lake Rd, Rhinebeck, NY, 12572",41.94331725312889,-73.83223597476135
Tanja Grunert Gallery,"21 Prospect Ave, Hudson, NY, 12534-2908",42.245410889594616,-73.77880210543138
Tannersville Works,"6041 Main St, Tannersville, NY, 12485",42.19580808386027,-74.1349041459133
Ten Barn Farm,"1142 Country Rte 22, Ghent, NY, 12075",42.32026802779892,-73.69032683056467
The 108,"108 Main St, Narrowsburg, NY, 12764",41.607622890387084,-75.06199217662704
The Barn on Berme,"1250 Berme Rd, Kerhonkson, NY, 12446",41.765925508724756,-74.32148760545493
The Campus Upstate,"341 NY-217, Hudson, NY, 12534",42.237756981795584,-73.69369151333343
The Capa Space,"2467 Quaker Church Rd, Yorktown, NY, 10598",41.2925438992838,-73.771891974793
The Church in Staatsburg,"5 Market St, Staatsburg, NY, 12580",41.84940701779331,-73.92949110175218
The Department of Things,"115 Abeel St, Kingston, NY, 12401",41.91687662454008,-73.98705400174902
The Dorsky Museum of Art,"1 Hawk Drive, New Paltz, NY, 12561",41.74176246762728,-74.0807136712923
The Gallery at Citiot,"404 Main St, Catskill, NY, 12414",42.22018927991083,-73.8654932035833
The Gallery at Yellow Studio,"792 Rte 35, Cross River, NY, 10518",41.263140527705346,-73.61325853643822
The Hudson Hangar x Gray Nivas,"1819 Berme Rd, Kerhonkson, NY, 12446",41.7787588853823,-74.27048681709816
The Pal Collaborative,"18 Old Kaaterskill Ave, Palenville, NY, 12463",42.16624421113604,-74.0091751459147
The Pocantico Center,"200 Lake Rd, Tarrytown, NY, 10591",41.09140166162363,-73.83971176130962
The Post Office,"158 W. Main St, Port Ewen, NY, 12466",41.90546113946127,-73.97745023058506
The Re Institute,"1395 Boston Corners Rd, Millerton, NY, 12546-5075",42.02088448054262,-73.51137391708626
The Sphinx x Basilica Hudson,"110 Front St, Hudson, NY, 12534",42.252294783271466,-73.79852621707485
Thomas Cole National Historic Site,"218 Spring St, Catskill, NY, 12414",42.225950899591815,-73.86158229008994
TRANSART/Gallery @ 107,"107 Henry St, Kingston, NY, 12401",41.928218066399154,-74.00953337476204
UAW HQ,"236 Wall St, Rm 103, Kingston, NY 12401",41.93192194825897,-74.01864750359749
Ugly Mud Studio,"2407 Rte 66, Ghent, NY, 12037",42.33453788495599,-73.60962926124884
Unison Arts,"9 Paradies Ln, New Paltz, NY, 12561",41.74018412138141,-74.06041651894937
UTOPIA,"35 North Front St, Kingston, NY, 12401",41.935430032238436,-74.02030118825483
Vallis / SCHOOL ART CENTER,"2392 Co Rte 8, Elizaville, NY 12523",42.081405706086834,-73.75239521708335
VANTAGE POINTS @ Ads Warehouse,"105 Ann Street Newburgh, NY, 12550",41.49914618860048,-74.01173868827618
Villa Isis,"618 Plutarch Rd, Highland, NY, 12528",41.79079375908174,-74.02088043244005
Wassaic Project,"37 Furnace Bank Rd, Wassaic, NY, 12592",41.80602540752404,-73.56061366127487
Woodstock Artists Association & Museum,"28 Tinker St, Woodstock, NY, 12498",42.04098673407992,-74.11948797049934
Woodstock School of Art,"2470 Rte 212, Woodstock, NY, 12498",42.040548703306676,-74.09392558640045
